Id,Month,Monthly_beer_production
20,1982-08,159.4
21,1982-09,160.7
22,1982-10,165.5
23,1982-11,205
24,1982-12,205.2
25,1983-01,141.6
26,1983-02,148.1
27,1983-03,184.9
28,1983-04,132.5
29,1983-05,137.3
30,1983-06,135.5
31,1983-07,121.7
32,1983-08,166.1
33,1983-09,146.8
34,1983-10,162.8
35,1983-11,186.8
36,1983-12,185.5
37,1984-01,151.5
38,1984-02,158.1
39,1984-03,143
40,1984-04,151.2
41,1984-05,147.6
42,1984-06,130.7
43,1984-07,137.5
44,1984-08,146.1
45,1984-09,133.6
46,1984-10,167.9
47,1984-11,181.9
48,1984-12,202
49,1985-01,166.5
50,1985-02,151.3
51,1985-03,146.2
52,1985-04,148.3
53,1985-05,144.7
54,1985-06,123.6
55,1985-07,151.6
56,1985-08,133.9
57,1985-09,137.4
58,1985-10,181.6
59,1985-11,182
60,1985-12,190
61,1986-01,161.2
62,1986-02,155.5
63,1986-03,141.9
64,1986-04,164.6
65,1986-05,136.2
66,1986-06,126.8
67,1986-07,152.5
68,1986-08,126.6
69,1986-09,150.1
70,1986-10,186.3
71,1986-11,147.5
72,1986-12,200.4
73,1987-01,177.2
74,1987-02,127.4
75,1987-03,177.1
76,1987-04,154.4
77,1987-05,135.2
78,1987-06,126.4
79,1987-07,147.3
80,1987-08,140.6
81,1987-09,152.3
82,1987-10,151.2
83,1987-11,172.2
84,1987-12,215.3
85,1988-01,154.1
86,1988-02,159.3
87,1988-03,160.4
88,1988-04,151.9
89,1988-05,148.4
90,1988-06,139.6
91,1988-07,148.2
92,1988-08,153.5
93,1988-09,145.1
94,1988-10,183.7
95,1988-11,210.5
96,1988-12,203.3
97,1989-01,153.3
98,1989-02,144.3
99,1989-03,169.6
100,1989-04,143.7
1,1989-05,160.1
2,1989-06,135.6
3,1989-07,141.8
4,1989-08,159.9
5,1989-09,145.7
6,1989-10,183.5
7,1989-11,198.2
8,1989-12,186.8
9,1990-01,172
10,1990-02,150.6
11,1990-03,163.3
12,1990-04,153.7
13,1990-05,152.9
14,1990-06,135.5
15,1990-07,148.5
16,1990-08,148.4
17,1990-09,133.6
18,1990-10,194.1
19,1990-11,208.6
20,1990-12,197.3
21,1991-01,164.4
22,1991-02,148.1
23,1991-03,152
24,1991-04,144.1
25,1991-05,155
26,1991-06,124.5
27,1991-07,153
28,1991-08,146
29,1991-09,138
30,1991-10,190
31,1991-11,192
32,1991-12,192
33,1992-01,147
34,1992-02,133
35,1992-03,163
36,1992-04,150
37,1992-05,129
38,1992-06,131
39,1992-07,145
40,1992-08,137
41,1992-09,138
42,1992-10,168
43,1992-11,176
44,1992-12,188
45,1993-01,139
46,1993-02,143
47,1993-03,150
48,1993-04,154
49,1993-05,137
50,1993-06,129
51,1993-07,128
52,1993-08,140
53,1993-09,143
54,1993-10,151
55,1993-11,177
56,1993-12,184
57,1994-01,151
58,1994-02,134
59,1994-03,164
60,1994-04,126
61,1994-05,131
62,1994-06,125
63,1994-07,127
64,1994-08,143
65,1994-09,143
66,1994-10,160
67,1994-11,190
68,1994-12,182
69,1995-01,138
70,1995-02,136
71,1995-03,152
72,1995-04,127
73,1995-05,151
74,1995-06,130
75,1995-07,119
76,1995-08,153
