Id,DATE,IPG2211A2N
28,2003-01-12,103.5428
29,2004-01-01,113.7226
30,2004-01-02,106.159
31,2004-01-03,95.4029
32,2004-01-04,86.7233
33,2004-01-05,89.0302
34,2004-01-06,95.5045
35,2004-01-07,101.7948
36,2004-01-08,100.2025
37,2004-01-09,94.024
38,2004-01-10,87.5262
39,2004-01-11,89.6144
40,2004-01-12,105.7263
41,2005-01-01,111.1614
42,2005-01-02,101.7795
43,2005-01-03,98.9565
44,2005-01-04,86.4776
45,2005-01-05,87.2234
46,2005-01-06,99.5076
47,2005-01-07,108.3501
48,2005-01-08,109.4862
49,2005-01-09,99.1155
50,2005-01-10,89.7567
51,2005-01-11,90.4587
52,2005-01-12,108.2257
53,2006-01-01,104.4724
54,2006-01-02,101.5196
55,2006-01-03,98.4017
56,2006-01-04,87.5093
57,2006-01-05,90.0222
58,2006-01-06,100.5244
59,2006-01-07,110.9503
60,2006-01-08,111.5192
61,2006-01-09,95.7632
62,2006-01-10,90.3738
63,2006-01-11,92.3566
64,2006-01-12,103.066
65,2007-01-01,112.0576
66,2007-01-02,111.8399
67,2007-01-03,99.1925
68,2007-01-04,90.8177
69,2007-01-05,92.0587
70,2007-01-06,100.9676
71,2007-01-07,107.5686
72,2007-01-08,114.1036
73,2007-01-09,101.5316
74,2007-01-10,93.0068
75,2007-01-11,93.9126
76,2007-01-12,106.7528
77,2008-01-01,114.8331
78,2008-01-02,108.2353
79,2008-01-03,100.4386
80,2008-01-04,90.9944
81,2008-01-05,91.2348
82,2008-01-06,103.9581
83,2008-01-07,110.7631
84,2008-01-08,107.5665
85,2008-01-09,97.7183
86,2008-01-10,90.9979
87,2008-01-11,93.8057
88,2008-01-12,109.4221
89,2009-01-01,116.8316
90,2009-01-02,104.4202
91,2009-01-03,97.8529
92,2009-01-04,88.1973
93,2009-01-05,87.5366
94,2009-01-06,97.2387
95,2009-01-07,103.9086
96,2009-01-08,105.7486
97,2009-01-09,94.8823
98,2009-01-10,89.2977
99,2009-01-11,89.3585
100,2009-01-12,110.6844
1,2010-01-01,119.0166
2,2010-01-02,110.533
3,2010-01-03,98.2672
4,2010-01-04,86.3
5,2010-01-05,90.8364
6,2010-01-06,104.3538
7,2010-01-07,112.8066
8,2010-01-08,112.9014
9,2010-01-09,100.1209
10,2010-01-10,88.9251
11,2010-01-11,92.775
12,2010-01-12,114.3266
13,2011-01-01,119.488
14,2011-01-02,107.3753
15,2011-01-03,99.1028
16,2011-01-04,89.3583
17,2011-01-05,90.0698
18,2011-01-06,102.8204
19,2011-01-07,114.7068
20,2011-01-08,113.5958
21,2011-01-09,99.4712
22,2011-01-10,90.3566
23,2011-01-11,93.8095
24,2011-01-12,107.3312
25,2012-01-01,111.9646
26,2012-01-02,103.3679
27,2012-01-03,93.5772
28,2012-01-04,87.5566
29,2012-01-05,92.7603
30,2012-01-06,101.14
31,2012-01-07,113.0357
32,2012-01-08,109.8601
33,2012-01-09,96.7431
34,2012-01-10,90.3805
35,2012-01-11,94.3417
36,2012-01-12,105.2722
37,2013-01-01,115.501
38,2013-01-02,106.734
39,2013-01-03,102.9948
40,2013-01-04,91.0092
41,2013-01-05,90.9634
42,2013-01-06,100.6957
43,2013-01-07,110.148
44,2013-01-08,108.1756
45,2013-01-09,99.2809
46,2013-01-10,91.7871
47,2013-01-11,97.2853
48,2013-01-12,113.4732
49,2014-01-01,124.2549
50,2014-01-02,112.8811
51,2014-01-03,104.7631
52,2014-01-04,90.2867
53,2014-01-05,92.134
54,2014-01-06,101.878
55,2014-01-07,108.5497
56,2014-01-08,108.194
57,2014-01-09,100.4172
58,2014-01-10,92.3837
59,2014-01-11,99.7033
60,2014-01-12,109.3477
61,2015-01-01,120.2696
62,2015-01-02,116.3788
63,2015-01-03,104.4706
64,2015-01-04,89.7461
65,2015-01-05,91.093
66,2015-01-06,102.6495
67,2015-01-07,111.6354
68,2015-01-08,110.5925
69,2015-01-09,101.9204
70,2015-01-10,91.5959
71,2015-01-11,93.0628
72,2015-01-12,103.2203
73,2016-01-01,117.0837
74,2016-01-02,106.6688
75,2016-01-03,95.3548
76,2016-01-04,89.3254
77,2016-01-05,90.7369
78,2016-01-06,104.0375
79,2016-01-07,114.5397
80,2016-01-08,115.5159
81,2016-01-09,102.7637
82,2016-01-10,91.4867
83,2016-01-11,92.89
84,2016-01-12,112.7694
85,2017-01-01,114.8505
86,2017-01-02,99.4901
87,2017-01-03,101.0396
88,2017-01-04,88.353
89,2017-01-05,92.0805
90,2017-01-06,102.1532
91,2017-01-07,112.1538
92,2017-01-08,108.9312
93,2017-01-09,98.6154
94,2017-01-10,93.6137
95,2017-01-11,97.3359
96,2017-01-12,114.7212
97,2018-01-01,129.4048
